Copy of Full Schedule,,
"Increment 1, Sector B (Lev G,1,2): Demo, Superstructure, Building Envelope",,
"lay pipes, conduits sub-GL, sector B",25.1,
submit shut down request for facilities,1,
"erect temp barrier, GL 6.5, M.4",3,
"MEP in deck GL, sector B",29,
"MEP in deck 1L, sector B",33,
"MEP in deck 2L, sector B",38,
"erect temp barrier, west of new main connector, GL, Sector B",46,
remove roof assembly 2L (E),49,
"remove parapet, coping  2L (E)",50,
erect construction barrier  2L (E),51,
remove ext window  2L (E),52,
demo part of exterior wall  2L (E),53,
NTP,0,
"demo ceilings  GL 6.5, M.4",2,
demo exterior walls  GL 5.7 M,4,
demo interior walls  GL 5.7 - 7.1 M.4,5,
"remove, salvage column covers,  GL 7.1 M",6,
"remove, dispose 8"" san. sewer GL 5.7 D.4",7,
"remove, dispose 6"" forced storm line GL 6.5 D.4 - M.4 ",12,
"cut and cap 6"" storm drain GL 5.7 M.4 - N",13,
raise ext. conduit into ceiling cavity GL 10.5 B,14,
"verify location of underground utilities sub-GL, Sector B",15,
"demo existing slab as needed  sub-GL, Sector B",16,
"excavate soil sub-GL, Sector B",17,
"excavate elevator pit  sub-GL, Sector B",18,
"erect shoring, timber lagging sub-GL, Sector B",19,
"install piles sub-GL, Sector B",20,
"formwork, rebar, for pile caps sub-GL, Sector B",21,
"install anchor and bolt connections to moment frame sub-GL, Sector B",22,
"pour concrete, strip formwork for pile caps sub-GL, Sector B",23,
"rebar, pour, strip footings GL, Sector B",24,
"formwork for foundations sub-GL, Sector B",25,
"subgrade preparation GL, Sector B",26,
"vapor barrier GL, Sector B",27,
"rebar connecting new foundations to (E) GL, Sector B",28,
"rebar, pour, strip foundations GL, Sector B",30,
"erect columns GL, Sector B",31,
"erect beams GL, Sector B",32,
"erect steel deck 1L, Sector B",34,
"erect concrete deck  1L, Sector B",35,
"erect columns 1L, Sector B",36,
"erect beams 1L, Sector B",37,
"erect steel deck 2L, Sector B",39,
"erect concrete deck 2L, Sector B",40,
"erect columns 2L, Sector B",41,
"erect steel deck 3L, Sector B",42,
"curtain wall GL, Sector B",43,
"erect temp barrier, west of new main connector, 1L, Sector B",47,
"curtain wall 1L, Sector B",44,
"formwork for footing  sub-GL, Sector B",23.1,
"erect temp barrier, west of new main connector, 2L, Sector B",48,
"curtain wall 2L, Sector B",45,
"demo ceilings 1L 7.1, M.4",7,
erect temp barrier 1L M.4,8,
demo exterior walls  1L 5.7 M,9,
demo interior walls  1L 6.5 M.4,10,
"remove, salvage column covers,  GL 7.1 M",11,
"Increment 2, Phase 1: Interior Build Out",-,
Sector B (Lev G),-,
"rough in ceiling MEP work GL, sector B",,
"install interior non-rated partitions GL, Sector B",,
"finish MEP work GL, sector B",,
"install flooring GL, Sector B",,
"install SDA GL, Sector B",,
"erect ceiling in connector area GL, Sector B",,
"install underslung elevator GL, Sector B",,
"install column covers in connector area GL, Sector B",,
"re-install column covers GL, Sector B",,
"re-install roll down door with egress GL, Sector B",,
"install doors at storage GL, Sector B",,
"remove temp barrier GL, Sector B",,
"perform patching work as needed  GL, Sector B",,
"paint walls GL, Sector B",,
"install floor finishes GL, Sector B",,
"install ceilings finishes GL, Sector B",,
"testing and commissioning GL, Sector B",,
"erect temp barrier GL, Sector B",,
"demo interior barrier GL, Sector B",,
"demo ceiling entirely GL, Sector B",,
"install seismic joints GL, Sector B",,
"erect interior barriers GL, Sector B",,
"rough in wall MEP work GL, sector B",,
"plaster walls GL, Sector B",,
"demo DDA GL, Sector B",,
"relocate DDA to other side of room GL, Sector B",,
Sector B (Lev 1),,
"rough in ceiling MEP work 1L, sector B",,
"install interior partitions 1L, Sector B",,
"install flooring at spec. locations 1L, Sector B",,
"finish MEP work 1L, sector B",,
"install underslung elevator 1L, Sector B",,
"testing and commissioning 1L, Sector B",,
"erect temp barrier 1L, Sector B",,
"erect interim construction tunnel 1L, Sector B",,
"demo interior fire barrier, DDA 1L, Sector B",,
"demo interior partitions 1L, Sector B",,
"install seismic joints 1L, Sector B",,
"remove, salvage door for meditation room 1L, Sector B",,
"remove, salvage column covers 1L, Sector B",,
"rough in wall MEP work 1L, sector B",,
"install cieling at spec. locations 1L, Sector B",,
"install column covers in connector area 1L, Sector B",,
"install roll down door with egress 1L, Sector B",,
"replace mediation room door 1L, Sector B",,
"remove temp barriers and tunnel 1L, Sector B",,
"remove temp barrier 1L, Sector B",,
"perform patching work as needed  1L, Sector B",,
"plaster walls 1L, Sector B",,
"paint walls 1L, Sector B",,
"install floor finishes 1L, Sector B",,
"install ceiling finishes 1L, Sector B",,
Sector B (Lev 2),,
"testing and commissioning 1L, Sector B",,
"erect int. 2hr partitions 2L, Sector A",,
"erect int. 1hr partitions 2L, Sector A",,
"erect int. non-rated partitions 2L, Sector A",,
"rough in ceiling  MEP work 2L, sector A",,
"rough in wall MEP work 2L, sector A",,
"install flooring at spec. locations 2L, Sector A",,
"finish MEP work 2L, sector A",,
"erect ceilings in elevator lobby 2L, Sector A",,
"install underslung elevator 2L, Sector A",,
"install column covers in connector area 2L, Sector A",,
"install DDA between IMOB and elevator 2L, Sector A",,
"remove temp barrier 2L, Sector A",,
"perform patching work as needed 2L, Sector A",,
"plaster walls 2L, Sector A",,
"paint walls 2L, Sector A",,
"install floor finishes 2L, Sector A",,
"install ceiling finishes 2L, Sector A",,
Sector A (Lev G),,
"demo ext. walls at IMOB connection GL, Sector A",,
"demo all ceilings, salvage lights GL, Sector A",,
"install seismic joints GL, Sector A",,
"rough in  wall MEP work GL, sector A",,
"remove temp barrier GL, Sector A",,
"perform patching work as needed  GL, Sector A",,
"erect temp barrier GL, Sector A",,
"install ext. DDA GL, Sector A",,
"rough in ceiling  MEP work GL, sector A",,
"install interior non-rated partitions GL, Sector A",,
"finish MEP work GL, sector A",,
"replace light fixtures 1L, Sector A",,
"plaster walls GL, Sector A",,
"paint walls GL, Sector A",,
"install floor finishes GL, Sector A",,
"install ceiling finishes GL, Sector A",,
"testing and commissioning GL, Sector A",,
Sector A (Lev 1) needs to be after sector b,,
"rough in ceiling MEP work 1L, sector A",,
"install interior non-rated partitions, door 1L, Sector A",,
"finish MEP work 1L, sector A",,
"install equipment, casework 1L, Sector A",,
"install side coiling security door 1L, Sector A",,
"erect ceilings 1L, Sector A",,
"replace light fixtures 1L, Sector A",,
"create opening at south exterior side of wall 1L, Sector A",,
"install roll down door with egress 1L, Sector A",,
"remove temp barrier 1L, Sector A",,
"perform patching work as needed  1L, Sector A",,
"erect temp barrier 1L, Sector A",,
"remove, salvage column covers 1L, Sector A",,
"demo interior partitions and SDA 1L, Sector A",,
"demo all ceilings, salvage lights 1L, Sector A",,
"install seismic joints GL, Sector A",,
"rough in wall MEP work 1L, sector A",,
"reinstall column covers 1L, Sector A",,
"Increment 2, Phase 2: Interior Build Out",,
Sector A (Lev 1),,
"wait until New Main Connector occupancy 1L, Sector A",,
"wait until proposed IMOB occupancy 1L, Sector A",,
"erect temp barrier 1L, Sector A",,
"demo 2hr partition and DDA 1L, Sector A",,
"rough in MEP work GL, sector A",,
"erect interior partitions and SDA 1L, Sector A",,
"finish MEP work GL, sector A",,
"install ceilings 1L, Sector A",,
"remove temp barriers 1L, Sector A",,
"perform patching work as needed 1L, Sector A",,
"plaster walls 1L, Sector A",,
"paint walls 1L, Sector A",,
"install floor finishes 1L, Sector A",,
"install cieling finsihes 1L, Sector A",,
"testing and commissioning 1L, Sector A",,
Courtyard,,
install trees Courtyard,,
install concrete paving Courtyard,,
install light fixtures Courtyard,,
install courtyard furnishings Courtyard,,
protect trees Courtyard,,
install resin paving  Courtyard,,